agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
Random,0,0,56426.665921507534,0.4375,0.03297151944731825,0.1315125980064906,0.05497517478422628,5.308724832214765
Random,0,1,33484.74702288054,0.48,0.019943768908929706,0.09035485068004434,0.041644408079932464,4.291666666666667
Random,0,2,23531.751899231636,0.358974358974359,0.00834870101310947,0.04638294315063877,0.02099650398991239,2.6265060240963853
Random,0,3,106423.07119325554,0.5774647887323944,0.033545994586804455,0.16173524711357423,0.08600023601697013,6.580110497237569
Random,0,4,120353.6207484013,0.432258064516129,0.04874948208190205,0.22945920169364864,0.11960968132417171,7.285340314136126
Random,0,5,49233.424211251826,0.5138888888888888,0.033814601449564316,0.1543204407797568,0.0814859784879104,6.4581005586592175
Random,0,6,112178.09513433829,0.47435897435897434,0.035519067762061464,0.19159128240513174,0.11283780256991402,7.318766066838046
Random,0,7,142295.31449202122,0.475,0.03784830675500861,0.2200065529669765,0.12235403051143855,7.546728971962617
Random,0,8,34470.8538990644,0.44755244755244755,0.03151950400946318,0.13638575212562212,0.06450038598933791,5.4498644986449865
Random,0,9,48546.92715628112,0.4269005847953216,0.03231891759638321,0.17800983948492924,0.08177087625827706,7.093366093366093
Random,0,10,65501.55118287554,0.4435483870967742,0.03839659019981703,0.19442993109371878,0.08399684679382052,7.292929292929293
Random,0,11,128553.46466942597,0.34523809523809523,0.054950633622138895,0.2257588597372708,0.10844285397743954,7.939947780678851
Random,0,12,243151.19882533993,0.42574257425742573,0.05917162093512615,0.23338174416438998,0.12393524927419475,8.34297520661157
Random,0,13,51996.469922071425,0.5333333333333333,0.0171842595521811,0.08715610967862254,0.03919250857006844,4.301369863013699
Random,0,14,158192.7915677736,0.5161290322580645,0.02626079741310898,0.2084829295401351,0.11825919814848293,8.36896551724138
Random,0,15,73952.95528139944,0.41414141414141414,0.03575639798354132,0.14821937758978043,0.07459098851597734,5.594827586206897
Random,0,16,54673.3434885727,0.425,0.022241440938055922,0.16188878842627324,0.09145243110672722,6.258899676375404
Random,0,17,161963.92989955618,0.45161290322580644,0.05532844159553785,0.30503500237609105,0.15148645424639567,9.174193548387096
Random,0,18,12036.747105578193,0.42857142857142855,0.009897410403579335,0.03510229672515575,0.01683008504436082,1.65625
Random,0,19,224900.86745622492,0.453781512605042,0.055082879193949885,0.27127061343759096,0.13762038780659738,8.943609022556391
Random,1,0,11369.61521195326,0.5140845070422535,0.022154168147167513,0.10310698605387245,0.042638584160133705,4.432748538011696
Random,1,1,10519.52828938753,0.625,0.014688183431220159,0.07465504188970074,0.03658636202741729,3.675675675675676
