agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
Random,0,0,9471.002559064178,0.3983050847457627,0.006484726555067821,0.04719436165386572,0.01962435938251348,2.3226950354609928
Random,0,1,20105.351555036963,0.423728813559322,0.007918163859826653,0.05551184463411974,0.026307775377918206,2.8279220779220777
Random,0,2,17788.94430700645,0.3559322033898305,0.0057512372720497215,0.04199966709378374,0.021209961841680128,2.25
Random,0,3,16639.933192796332,0.3728813559322034,0.00609976460999791,0.042549979649430913,0.021636135868048963,2.2567567567567566
Random,0,4,15733.645178565306,0.3983050847457627,0.006936993056484147,0.04656296636447484,0.023216165875095573,2.414383561643836
Random,0,5,18778.429429927128,0.4067796610169492,0.008128465342413302,0.06582659005875555,0.0331163805044359,3.177049180327869
Random,0,6,18591.37783700572,0.3813559322033898,0.007464734732700475,0.05480232951729476,0.02300805643487522,2.5346534653465347
Random,0,7,18353.99833560727,0.4576271186440678,0.0074174839185911666,0.049423237034827976,0.023238158693496862,2.511627906976744
Random,0,8,19856.242259226798,0.3644067796610169,0.007779849814349227,0.053133589281388574,0.02465195148652695,2.6459016393442623
Random,0,9,16586.504617419956,0.3728813559322034,0.005373589210046745,0.04267038729411544,0.02209443222289904,2.210526315789474
Random,0,10,14092.443629357009,0.3644067796610169,0.007198219370000452,0.04924522600712188,0.02199053959839619,2.416370106761566
Random,0,11,20941.999059506998,0.3813559322033898,0.006491352028809304,0.050689323767831196,0.025560268674365793,2.7118055555555554
Random,0,12,23341.496620368016,0.3474576271186441,0.0070402168340845455,0.04807141175972949,0.02375119897895663,2.4473684210526314
Random,0,13,12212.171032925324,0.4406779661016949,0.00583237490403388,0.04370236919764236,0.02281069034180322,2.2360248447204967
Random,0,14,12357.703581217287,0.4067796610169492,0.005686491616577032,0.04152856359952283,0.02048750879331794,2.249221183800623
Random,0,15,17394.978023526426,0.3898305084745763,0.005680067243478109,0.040652873078258475,0.020543899508225126,2.138709677419355
Random,0,16,16940.578828123846,0.3898305084745763,0.005742822279180577,0.04137844174404661,0.020553929134532262,2.0915254237288137
Random,0,17,19101.446604206947,0.3813559322033898,0.006694627071058899,0.05106680263579907,0.022791200213969576,2.5
Random,0,18,15471.306323776826,0.3644067796610169,0.005143006090958921,0.035224088309280935,0.01904155513083461,1.9508771929824562
Random,0,19,10881.802316715337,0.3220338983050847,0.004304074025158976,0.03281926667523145,0.015640081532069704,1.770967741935484
Random,1,0,51615.21134983809,0.4444444444444444,0.010769745481691208,0.04786589966749593,0.029351665602354738,2.742857142857143
Random,1,1,47547.715337312344,0.46296296296296297,0.010735606389927604,0.044286578363280774,0.024738235435117672,2.392857142857143
Random,1,2,31274.434957044825,0.37037037037037035,0.008208594881699666,0.03334840129002844,0.019134276311853046,2.044776119402985
Random,1,3,55256.77966151272,0.42592592592592593,0.011107596049070266,0.04506782092362062,0.026436398166048786,2.676470588235294
Random,1,4,57127.35071366627,0.5370370370370371,0.011833147786356142,0.05079233562095579,0.026467043327880087,2.734848484848485
Random,1,5,43314.075323694415,0.46296296296296297,0.008568576816776162,0.03779861609322276,0.02001520148263586,2.146153846153846
Random,1,6,48452.90741661147,0.42592592592592593,0.011737796457821765,0.0509230704975439,0.025664352749775996,2.645669291338583
Random,1,7,35683.289863947764,0.4074074074074074,0.009685918222081619,0.04038791830696062,0.021439485873775428,2.310077519379845
Random,1,8,39202.44773521716,0.4444444444444444,0.011658920010707426,0.04978145854720787,0.025958101265798023,3.0
Random,1,9,52572.078547433106,0.42592592592592593,0.010156679265389044,0.044499652592709195,0.02394874654542876,2.5597014925373136
Random,1,10,40166.39054073343,0.3888888888888889,0.009781714647263528,0.03984135863560758,0.020807039626709906,2.4126984126984126
Random,1,11,37552.97631491066,0.4074074074074074,0.009771610155486417,0.04055263462462937,0.021006442147109578,2.4296296296296296
Random,1,12,62915.839899614766,0.4444444444444444,0.011587442890460034,0.049398126714774386,0.028066050713052543,2.8153846153846156
Random,1,13,39935.699635419776,0.37037037037037035,0.008037865329861536,0.03917960296533244,0.019660101220384026,2.045801526717557
Random,1,14,45754.163373658834,0.5,0.012368203230293865,0.05146954585986552,0.027313334011817833,2.816326530612245
Random,1,15,73620.96284460509,0.5555555555555556,0.015934587399313745,0.06471974374699835,0.03546063656666225,3.351145038167939
Random,1,16,43462.51383184563,0.4444444444444444,0.01006770009490668,0.046132060677392756,0.02439771150406276,2.507936507936508
Random,1,17,27288.859451083586,0.3333333333333333,0.010118585411214328,0.03465653867705689,0.01833239164380192,2.0977443609022557
Random,1,18,37201.63938000176,0.48148148148148145,0.01040131965472048,0.04999090203341008,0.023147928279053792,2.4893617021276597
Random,1,19,39629.08402601451,0.35185185185185186,0.008507705518145262,0.03658241124232663,0.02088746814807694,2.1347517730496453
Random,2,0,10119.856984487618,0.35294117647058826,0.00854593439738595,0.030270767747074035,0.01259256382497741,1.554054054054054
Random,2,1,13694.535715601529,0.47058823529411764,0.014129364551823669,0.05148469029093907,0.018089367806384843,2.1666666666666665
Random,2,2,8530.706340480743,0.38235294117647056,0.010413371296003376,0.0375383148964561,0.011539657490538624,1.7882352941176471
Random,2,3,9282.434784625024,0.35294117647058826,0.013266912009098221,0.045665843321886126,0.013738931791708583,1.7375
Random,2,4,9936.099370677639,0.35294117647058826,0.008104530544964116,0.02937372748813925,0.009650782670040388,1.3636363636363635
Random,2,5,13112.065230777307,0.4411764705882353,0.012769261741106094,0.04551380720578289,0.015325889848522324,2.0898876404494384
Random,2,6,7043.046795928128,0.29411764705882354,0.007780003983736977,0.02859916359880483,0.010954499378755481,1.3780487804878048
Random,2,7,13671.73672834346,0.4411764705882353,0.012063438823309689,0.042853580630125676,0.017012721649351123,1.8928571428571428
Random,2,8,9870.86827001639,0.38235294117647056,0.01200626612746462,0.042835111499453564,0.013753296512482393,1.9880952380952381
Random,2,9,9573.068749222191,0.35294117647058826,0.009749850398112535,0.0352009737587379,0.011938986683605024,1.7738095238095237
Random,2,10,9772.023447665182,0.38235294117647056,0.010985824256940996,0.03885439614776775,0.014482642013800614,1.9294117647058824
Random,2,11,9263.649080445055,0.35294117647058826,0.009928415352810055,0.036564536757075966,0.011874495192985257,1.7816091954022988
Random,2,12,5652.365948832225,0.29411764705882354,0.008307415457051647,0.03100895120211326,0.009747492562228458,1.358974358974359
Random,2,13,13003.476417824477,0.4117647058823529,0.00927976378783086,0.03512418981665884,0.011618165214542462,1.576470588235294
Random,2,14,9588.004800764915,0.4411764705882353,0.01278637188199537,0.04538573126801388,0.015186071828904947,2.0625
Random,2,15,9876.406449672371,0.38235294117647056,0.012427697126632055,0.04529441131146096,0.01512370991825914,1.975609756097561
Random,2,16,8266.762229355922,0.35294117647058826,0.010116021571036539,0.03790357596174243,0.014335960419708698,1.8620689655172413
Random,2,17,12096.172697078799,0.4117647058823529,0.010301555960393737,0.037362601001735184,0.013632460848193952,1.8068181818181819
Random,2,18,11949.556888093475,0.4411764705882353,0.009423561780410874,0.0333057440270033,0.011451017346969752,1.5223880597014925
Random,2,19,9016.66285149049,0.3235294117647059,0.009712869646434984,0.035201669439191154,0.012710177157123909,1.6823529411764706
Random,3,0,72859.52465163157,0.3625,0.01644891644277819,0.08471091567522704,0.04404640173262589,4.247524752475248
Random,3,1,81100.77885913609,0.35,0.018231638194664154,0.10223400239592705,0.046258505219741154,4.917098445595855
Random,3,2,107948.60604887432,0.4125,0.0206938517260748,0.11135841726983149,0.052232925813498365,4.624365482233503
